date,SP500,NASDAQ,DXY,VIX,GOLD
2015-01-02,91.08000183105469,114.08000183105469,2058.199951171875,4726.81005859375,17.790000915527344
2015-01-05,91.37999725341797,115.80000305175781,2020.5799560546875,4652.56982421875,19.920000076293945
2015-01-06,91.5,117.12000274658203,2002.6099853515625,4592.740234375,21.1200008392334
2015-01-07,91.88999938964844,116.43000030517578,2025.9000244140625,4650.47021484375,19.309999465942383
2015-01-08,92.37000274658203,115.94000244140625,2062.139892578125,4736.18994140625,17.010000228881836
2015-01-09,91.94000244140625,117.26000213623047,2044.81005859375,4704.06982421875,17.549999237060547
2015-01-12,91.9800033569336,118.55999755859375,2028.260009765625,4664.7099609375,19.600000381469727
2015-01-13,92.30999755859375,118.16000366210938,2023.030029296875,4661.5,20.559999465942383
2015-01-14,92.16000366210938,117.97000122070312,2011.27001953125,4639.31982421875,21.479999542236328
2015-01-15,92.3499984741211,120.94000244140625,1992.6700439453125,4570.81982421875,22.389999389648438
2015-01-16,92.5199966430664,122.5199966430664,2019.4200439453125,4634.3798828125,20.950000762939453
2015-01-20,93.05000305175781,124.19999694824219,2022.550048828125,4654.85009765625,19.889999389648438
2015-01-21,92.9000015258789,124.2300033569336,2032.1199951171875,4667.419921875,18.850000381469727
2015-01-22,94.23999786376953,125.2300033569336,2063.14990234375,4750.39990234375,16.399999618530273
2015-01-23,95.0,124.2300033569336,2051.820068359375,4757.8798828125,16.65999984741211
2015-01-26,94.80000305175781,122.98999786376953,2057.090087890625,4771.759765625,15.520000457763672
2015-01-27,94.0199966430664,124.4000015258789,2029.550048828125,4681.5,17.219999313354492
2015-01-28,94.47000122070312,123.41999816894531,2002.1600341796875,4637.990234375,20.440000534057617
2015-01-29,94.77999877929688,120.76000213623047,2021.25,4683.41015625,18.760000228881836
2015-01-30,94.80000305175781,123.44999694824219,1994.989990234375,4635.240234375,20.969999313354492
2015-02-02,94.5,122.41999816894531,2020.8499755859375,4676.68994140625,19.43000030517578
2015-02-03,93.5999984741211,121.05000305175781,2050.030029296875,4727.740234375,17.329999923706055
2015-02-04,93.98999786376953,121.58000183105469,2041.510009765625,4716.7001953125,18.329999923706055
2015-02-05,94.69999694824219,121.79000091552734,2062.52001953125,4765.10009765625,16.850000381469727
2015-02-06,94.69999694824219,118.63999938964844,2055.469970703125,4744.39990234375,17.290000915527344
2015-02-09,94.44999694824219,119.16999816894531,2046.739990234375,4726.009765625,18.549999237060547
2015-02-10,94.76000213623047,118.47000122070312,2068.590087890625,4787.64013671875,17.229999542236328
2015-02-11,94.98999786376953,117.06999969482422,2068.530029296875,4801.18017578125,16.959999084472656
2015-02-12,94.08999633789062,117.33999633789062,2088.47998046875,4857.60986328125,15.34000015258789
2015-02-13,94.19999694824219,117.9800033569336,2096.989990234375,4893.83984375,14.6899995803833
2015-02-17,94.05999755859375,116.01000213623047,2100.340087890625,4899.27001953125,15.800000190734863
2015-02-18,94.19999694824219,116.33999633789062,2099.679931640625,4906.35986328125,15.449999809265137
2015-02-19,94.4000015258789,115.94000244140625,2097.449951171875,4924.7001953125,15.289999961853027
2015-02-20,94.25,115.27999877929688,2110.300048828125,4955.97021484375,14.300000190734863
2015-02-23,94.56999969482422,115.43000030517578,2109.659912109375,4960.97021484375,14.5600004196167
2015-02-24,94.48999786376953,115.26000213623047,2115.47998046875,4968.1201171875,13.6899995803833
2015-02-25,94.20999908447266,115.69999694824219,2113.860107421875,4967.14013671875,13.84000015258789
2015-02-26,95.29000091552734,116.06999969482422,2110.739990234375,4987.89013671875,13.90999984741211
2015-02-27,95.25,116.16000366210938,2104.5,4963.52978515625,13.34000015258789
2015-03-02,95.45999908447266,115.68000030517578,2117.389892578125,5008.10009765625,13.039999961853027
2015-03-03,95.37999725341797,115.47000122070312,2107.780029296875,4979.89990234375,13.859999656677246
2015-03-04,95.97000122070312,115.11000061035156,2098.530029296875,4967.14013671875,14.229999542236328
2015-03-05,96.37999725341797,115.0,2101.0400390625,4982.81005859375,14.039999961853027
2015-03-06,97.62000274658203,111.86000061035156,2071.260009765625,4927.3701171875,15.199999809265137
